Rk,Player,Year,Rd,Overall,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
1,Deng Adel,,,,2019,2019,19,194,11,36,6,23,4,4,3,19,5,1,4,6,13,32,.306,.261,1.000,10.2,1.7,1.0,0.3
2,Henry Bacon,1972,6,93,1973,1973,47,425,60,164,2,10,44,73,40,82,38,,,64,72,166,.366,.200,.603,9.0,3.5,1.7,0.8
3,Butch Beard,1969,1,10,1970,1979,605,14283,2187,4495,,,1248,1619,482,2042,2189,499,36,164,1581,5622,.487,,.771,23.6,9.3,3.4,3.6
4,Phil Bond,1977,3,62,1978,1978,7,21,2,6,,,0,0,1,4,2,1,0,2,1,4,.333,,,3.0,0.6,0.6,0.3
5,Junior Bridgeman,1975,1,8,1976,1987,849,21257,4801,10099,40,164,1875,2216,910,2995,2066,685,220,1169,1969,11517,.475,.244,.846,25.0,13.6,3.5,2.4
6,Roger Burkman,1981,6,130,1982,1982,6,30,0,4,0,1,5,6,2,6,5,6,2,3,6,5,.000,.000,.833,5.0,0.8,1.0,0.8
7,Derrick Caracter,2010,2,58,2011,2011,41,215,32,66,0,0,17,23,19,43,7,4,10,19,47,81,.485,,.739,5.2,2.0,1.0,0.2
8,Earl Clark,2009,1,14,2010,2015,261,3630,453,1125,82,250,150,226,195,778,134,83,136,175,323,1138,.403,.328,.664,13.9,4.4,3.0,0.5
9,Jack Coleman,1948 1949,2,,1950,1958,633,16479,2813,6763,,,1095,1575,,5186,1749,,,,1927,6721,.416,,.695,33.1,10.6,9.2,2.8
10,Wesley Cox,1977,1,18,1978,1979,74,813,122,296,,,98,192,60,206,23,34,15,80,150,342,.412,,.510,11.0,4.6,2.8,0.3
11,Gorgui Dieng,2013,1,21,2014,2021,533,11675,1602,3198,135,377,860,1090,976,3257,728,443,519,623,1208,4199,.501,.358,.789,21.9,7.9,6.1,1.4
12,Jerry Eaves,1982,3,55,1983,1987,168,2685,416,882,1,14,299,387,64,208,414,85,8,251,218,1132,.472,.071,.773,16.0,6.7,1.2,2.5
13,Pervis Ellison,1989,1,1,1990,2001,474,11593,1826,3579,1,20,841,1221,1087,3170,691,293,752,798,1493,4494,.510,.050,.689,24.5,9.5,6.7,1.5
14,Reece Gaines,2003,1,15,2004,2006,71,605,48,148,7,26,20,33,9,53,50,17,3,26,40,123,.324,.269,.606,8.5,1.7,0.7,0.7
15,Francisco García,2005,1,23,2006,2015,549,11853,1564,3659,581,1627,614,768,278,1400,747,441,388,545,1229,4323,.427,.357,.799,21.6,7.9,2.6,1.4
16,Lancaster Gordon,1984,1,8,1985,1988,201,2581,472,1208,23,85,158,206,116,259,294,128,31,237,266,1125,.391,.271,.767,12.8,5.6,1.3,1.5
17,Darrell Griffith,1980,1,2,1981,1991,765,21403,5237,11305,530,1596,1387,1961,780,2519,1627,931,242,1632,1689,12391,.463,.332,.707,28.0,16.2,3.3,2.1
18,Mike Grosso,1969 1970,3 5,42 84,1972,1972,25,335,45,102,0,0,13,23,49,123,11,,,20,64,103,.441,,.565,13.4,4.1,4.9,0.4
19,Jerome Harmon,,,,1995,1995,10,158,21,53,1,1,3,6,9,23,12,9,0,7,12,46,.396,1.000,.500,15.8,4.6,2.3,1.2
20,Montrezl Harrell,2015,2,32,2016,2021,345,7314,1796,2913,5,54,805,1249,619,1741,452,196,307,402,776,4402,.617,.093,.645,21.2,12.8,5.0,1.3
21,Charles Jones,1984,2,36,1985,1989,201,3009,365,740,1,9,284,465,269,758,206,98,108,234,313,1015,.493,.111,.611,15.0,5.0,3.8,1.0
22,Damion Lee,,,,2018,2021,122,2696,386,911,165,462,169,197,63,463,212,97,9,101,211,1106,.424,.357,.858,22.1,9.1,3.8,1.7
